City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
359,nizhnesortymskiy,62.4397,71.7603,-13.75,100,100,2.66,RU,1738783136
360,tura,25.5198,90.2201,15.67,64,0,1.82,IN,1738783137
361,nouadhibou,20.931,-17.0347,21.99,53,0,5.66,MR,1738783138
362,klyuchi,52.2667,79.1667,-14.74,86,5,5.07,RU,1738783139
363,mwinilunga,-11.7358,24.4293,18.36,97,100,2.2,ZM,1738783140
364,ballesteros,18.4126,121.5152,21.33,88,100,4.07,PH,1738783141
365,usinsk,65.9939,57.5281,-13.31,97,69,4.62,RU,1738783127
366,al 'amarah,31.8406,47.1396,17.07,50,4,10.6,IQ,1738783145
367,kapa'a,22.0752,-159.319,21.18,78,100,0.0,US,1738783146
368,sao felix do xingu,-6.6447,-51.995,29.61,65,70,1.5,BR,1738783147
369,buka,40.8108,69.1986,5.57,46,100,0.6,UZ,1738783148
370,kruisfontein,-34.0033,24.7314,19.6,68,100,3.57,ZA,1738783150
371,la sarre,48.8002,-79.1996,-13.59,78,58,5.33,CA,1738783151
372,tazovsky,67.4667,78.7,-20.18,99,25,3.48,RU,1738783154
373,bubaque,11.2833,-15.8333,25.79,61,83,4.39,GW,1738783096
374,zykovo,55.9519,93.1461,-17.05,96,100,1.0,RU,1738783156
375,paita,-5.0892,-81.1144,25.61,67,72,6.66,PE,1738783157
376,yaren,-0.5472,166.916,26.6,79,28,6.57,NR,1738783158
377,beichengqu,40.4394,113.1536,-15.52,78,7,3.21,CN,1738783159
378,praia da vitoria,38.7333,-27.0667,19.14,77,20,3.57,PT,1738783160
379,mogadishu,2.0371,45.3438,24.71,89,83,8.91,SO,1738783162
380,mount pleasant,32.7941,-79.8626,20.59,85,40,2.57,US,1738782982
381,safaga,26.7292,33.9365,18.42,55,27,8.61,EG,1738783164
382,newnham,-41.3833,147.1333,9.53,87,1,3.6,AU,1738783165
383,luderitz,-26.6481,15.1594,21.92,58,87,10.53,NA,1738783166
384,nizhnevartovsk,60.9344,76.5531,-9.99,92,100,0.0,RU,1738783167
385,castillos,-34.1667,-53.8333,27.06,63,100,6.12,UY,1738783169
386,valparaiso,-33.0393,-71.6273,32.8,25,0,7.72,CL,1738783116
387,harstad,68.799,16.5293,1.75,83,10,1.79,NO,1738783172
388,gaiman,-43.2897,-65.4929,27.11,16,100,6.54,AR,1738783173
389,vilyuysk,63.7553,121.6247,-45.11,100,61,1.19,RU,1738783105
390,sisimiut,66.9395,-53.6735,-20.55,93,100,2.79,GL,1738783175
391,kuala tungkal,-0.8167,103.4667,24.18,93,100,3.44,ID,1738783176
392,gutierrez zamora,20.45,-97.0833,26.11,72,89,2.86,MX,1738783177
393,fort mcmurray,56.7268,-111.381,-18.23,55,100,4.63,CA,1738783178
394,gunnison,38.7,-107.0673,3.77,62,21,7.63,US,1738783180
